fold_id,signal_index,entry_time,exit_time,direction,score,state_key,entry_price,exit_price,stop_price,target_price,pnl_points,bars_held,exit_reason,mfe_points,mae_points,spread_points
rw_004,179643,2024-11-12 16:00:00,2024-11-12 16:05:00,1,-1.867014,long|phase_early_confirmation|compression_low|trigger_soft|fresh_new|low_decay|us_overlap,21131.87,21120.31,21120.31,21147.76,-12.96,2,stop,4.25,13.5,1.4
rw_004,179654,2024-11-12 16:55:00,2024-11-12 16:55:00,1,-1.845418,long|phase_early_confirmation|compression_low|trigger_soft|fresh_new|low_decay|us_overlap,21140.22,21155.93,21128.79,21155.93,14.51,1,target,21.25,8.25,1.2
rw_004,179660,2024-11-12 17:25:00,2024-11-12 17:35:00,1,-1.879465,long|phase_early_confirmation|compression_low|trigger_soft|fresh_stale|mid_decay|late_session,21124.97,21143.06,21111.81,21143.06,16.89,3,target,21.5,5.75,1.2
rw_004,179675,2024-11-12 18:40:00,2024-11-12 18:50:00,-1,-1.815721,short|phase_trigger|compression_low|trigger_strong|fresh_new|low_decay|late_session,21068.97,21084.91,21084.91,21047.05,-17.14,3,stop,14.5,36.0,1.2
rw_004,179684,2024-11-12 19:25:00,2024-11-12 19:25:00,-1,-1.785171,short|phase_trigger|compression_low|trigger_strong|fresh_new|low_decay|late_session,21051.6,21069.39,21069.39,21027.14,-18.99,1,stop,0.0,21.37,1.2
rw_004,179690,2024-11-12 19:55:00,2024-11-12 19:55:00,-1,-1.775623,short|phase_trigger|compression_low|trigger_strong|fresh_new|low_decay|late_session,21031.47,21006.41,21049.7,21006.41,23.86,1,target,55.25,1.75,1.2
rw_004,179810,2024-11-13 06:55:00,2024-11-13 07:05:00,-1,-1.939848,short|phase_trigger|compression_high|trigger_strong|fresh_new|low_decay|early_session,21049.92,21054.91,21054.91,21043.06,-6.39,3,stop,2.5,5.5,1.4
rw_004,179817,2024-11-13 07:30:00,2024-11-13 07:35:00,-1,-1.948531,short|phase_trigger|compression_high|trigger_firm|fresh_new|low_decay|early_session,21042.42,21035.52,21047.44,21035.52,5.5,2,target,9.88,1.25,1.4
rw_004,179935,2024-11-13 17:20:00,2024-11-13 17:30:00,-1,-1.929547,short|phase_early_confirmation|compression_low|trigger_soft|fresh_new|low_decay|late_session,21012.14,21028.78,21028.78,20989.27,-17.84,3,stop,19.62,40.5,1.2
rw_004,179941,2024-11-13 17:50:00,2024-11-13 17:55:00,-1,-1.914386,short|phase_early_confirmation|compression_low|trigger_soft|fresh_fresh|low_decay|late_session,21020.89,21040.13,21040.13,20994.44,-20.44,2,stop,12.62,21.13,1.2
rw_004,179959,2024-11-13 19:20:00,2024-11-13 19:55:00,1,-1.838499,long|phase_trigger|compression_low|trigger_strong|fresh_new|mid_decay|late_session,21105.52,21137.96,21081.93,21137.96,31.24,8,target,39.75,21.63,1.2
